Model,title,rate,content
Amazfit Verge,"Xiaomi Amazfit Verge Review – Best Budget Smartwatch, make receive calls, Special Price Rs. 12,700",4.6,"Xiaomi launched their new Amazfit smartwatch called the Amazfit Verge. This Smartwatch comes with AMOLED screen, and you can also make / receive calls. ,You can buy this from GearBest, special price Rs. 12,700 (approx) with free priority line shipping, make sure to use priority line shipping option. Good news GearBest now accepts UPI payments.,And to get the Amazfit Verge for the special price click the link – ,This new Amazfit Verge smartwatch is a good improvement compared with the Amazfit Pace and the Amazfit Stratos, the AMOLED screen looks awesome gives a more premium look and blends well will the smartwatch design / color.,In room light the screen looks way better than when compared with Amazfit Pace and Amazfit Stratos, however when viewing the screen under sunlight the screen is not really that much visible as seen on the Pace / Stratos.,New addition is the NFC, Speaker and Mic, so now with the new Amazfit smartwatch you can make and receive calls this feature comes really handy when you are driving.,Battery life is as good and as seen on the Pace / Stratos. This new watch does come with always on display but that is limited to just the time, twist wrist and you will see more details info and when you unlock using the button you will get more details / animation.,Amazfit Verge can track your fitness activities, calories burned, steps taken, your sleep and it can also monitor your heart rate occasionally at internals / continuous when using exercise mode.,Watch is water resistant, but avoid swimming with it.,Bluetooth Version: Bluetooth 4.0,
RAM: 512MB,
ROM: 4GB,
Water resistant: Yes,
Bluetooth calling: Caller ID display,Caller’s name display,Phone call reminder,
Health tracker: Drinking reminder,Heart rate monitor,Pedometer,Sedentary reminder,Sleep monitor,
Screen resolution: 360 x 360, size: 1.3 inch, Touch Screen,
Battery Capacity: 390mAh,
Charging Time: About 2.5hour,
Standby time: 5 days,
Band material: PU,
Case material: ABS,Plastic,
Shape of the dial: Round,
Android4.4 / iOS9.0 or above"
1More Stylish Dual Dynamic Driver Earphone,"1MORE Stylish Dual Dynamic Driver Earphone review – Awesome, best premium earphone under Rs. 3K",4.7,"1MORE launched another earphone a stylish Dual Dynamic Driver (in-ear wired), price in India is Rs. 2999 but if you pre-order you can get it for Rs. 2,749 plus additional 15% cashback. ,The price of the product is 2,999 INR. The product carry’s a 1 year warranty and is available at Paytm Mall and 1MORE INDIA webstore and many leading stores across India.,The Pre order starts from 7th – 15th December 2018 on Paytm Mall at Rs.2749 offering an additional cashback of 15%.,Here is PayTM Link – ,This new earphones fits well, quite comfortable, looks premium and price is too good. Can say this is the best under Rs. 3000. This earphone is using Graphene + titanium dual-dynamic driver, sound output is pretty impressive. One can easily feel the quality difference when comparing with other earphones within Rs. 3K.,L Shaped 3.5mm connector will reduce wear and tear of the wires. This new 1MORE earphone also comes with smart control (in wire) with MEMS microphone. Like most 1MORE earphones this one is also tuned By A Grammy Winning Sound Engineer Luca Bignardi.,1MORE Stylish Dual Dynamic Driver Earphone provides deep bass, clear mids and sizzling highs. Vocals are clear; pretty good instrument separation, earbuds provide secure fit that improves noise isolation.,Type: In-Ear,
Color: Black/Pink,
Impedance: 32 Ω,
Sensitivity: 98 dB,
Frequency Range: 20-20,000 Hz,
Rated Power: 5 mW,
Weight: 15 g,
Cable Length: 1.25 m,
Plug: 3.5mm,
In-line Remote Control & MIC: Included,
Wire Material: Enameled Copper Wire"
ZAAP Quick Touch One Pro Car Mount,"ZAAP Quick Touch One Pro Car Mount review, plus 10x Giveaway!",4.5,"If you use you mobile phone a lot of navigation while driving then do check the ZAAP Quick Touch One Pro Car Mount, it is perfect mobile phone holder for your car. ,You can buy this for Rs. 1,499,
From Amazon – ,
and,
From ZAAP site – ,———,
GIVEAWAY,
——————,There are 10 ZAAP Quick Touch One Pro Car Mounts to be won, all you need to do is check the link and follow the instructions.,Winner will be declared on 16th December and they will get a coupon code via email that will help get the product for free.,It comes with a long TELESCOPIC ARM (4–6.5 inches) to allow closer device viewing. 2X Extra pull force/Shock Stabilizer. 360 Degree Rotation.,Plus REUSABLE STICKY GEL PAD for secure fit, Reusable infinite times as it restores to original condition after rinsing with water.,You can use this in your CAR on DASHBOARD / WINDSHIELD  but do note it will not stay glued on Leather/vinyl Dashboard.,There is a single big button that actually will get pressed by your smartphone back when you place the smartphone on the mount and this will also lock the arms in place to hold the smartphone.,The arms have rubber padding that will protect the handset.,This is best option if you use the phone while driving / for navigation etc., "
Stuffcool Dizzy,"Stuffcool Dizzy Magnetic Smart Earphone separate earbuds to switch on, attach it to switch off",4.5,"This is Stuffcool Dizzy Magnetic Smart Earphone, a unique type of earphone that comes with smart earbuds. When you connect the magnetic earbuds the earphone will switch off and when you separate the earbuds it will switch on. ,You can buy this from Amazon for Rs. 2,499 – ,Bluetooth version : 4.1 stereo headphone, Transmission power : class 2,
Standard micro USB charging connector support models: HSP/HFP/A2DP/AVRCP,
60mAh rechargeable battery, Two bluetooth devices supported, In-ear design that blocks outside noise,
Built-in microphone for phone calls/Handsfree use, Charging time : 2 hours, Play time : 3.5 hours, Talk time : 4 hours, Standby time : 150 hours,
Smart Magnetic Play/Pause : When the ear buds are attached, the call Ends or the music stops playing & When the ear buds are detached one can answer the call or Listen to music"
Asus Zenfone Max Pro M2,Asus Zenfone Max Pro M2 review – Awesome looks and everything for under Rs. 15K,4.5,"Here is Asus Zenfone Max Pro M2 review, this review covers everything that you need to know before you buy the handset. You can check the overall performance, Pubg Gameplay, camera quality / samples and battery life. Price is also the key factor starting from just Rs. 12,999. ,Asus Zenfone Max Pro M2 looks really awesome; this is so far the best looking handset for under Rs. 15,000. Well am talking about the blue color variant that may or may not convince you but the titanium color variant surely will. However the titanium variant will take time and may not be available soon.,Inside the hood the Snapdragon 660 AIE processor does a really good job. You can play high end games with ease, hardware hardly heats up and battery life is pretty awesome. I played Pubg game do check the game play in the video review.,On rear there is 12MP + 5MP dual cameras and front camera is 13MP. This handset can shoot 4K videos but if you need video stabilization then that option is available only in 1080p recording mode, video stabilization is pretty good do check the Asus Zenfone Max Pro M2 video review.,Camera quality is excellent and there is scope of improvement, I believe after software update it will. More features will be added like AI camera and more. For now the Bokeh mode is not available for the front camera but will be added.,But in general the camera output is pretty good do check the samples below., , , , , , , , , , , , , , , , , ,Talking about battery performance the 5000 mAh battery is massive but does not add to the overall weight of the handset. It takes about 2 hours 30 minutes for a full charge and on a full charge you will get 2 days and even more of battery life based on your usage. If you are a really heavy user then too you will easily get a day of battery life.,Screen : 6.26″ FHD+ (2280×1080) Notch Display, 2.5D Corning Gorilla Glass 6, 94% NTSC Colour Gamut, 1500:1 contrast ratio, 19:9 Aspect Ratio, 450 nits Brightness,
Design : Premium 3D-curved glossy design, 175gms weight and dimensions are 157.9*75.5*8.5 mm,
Hardware : Qualcomm Snapdragon 660 with AIE, 1.95GHz, GPU: Adreno 512,
RAM / ROM : LPDDR4X 3/32, 4/64, 6/64,
Rear : 12MP (IMX486, f/1.8, 1.25µm, 6p lens) + 5MP Dedicated Depth Sensor, EIS, 4K video Recording, LED Flash,
Front : 13MP, f/2.0, 1.12µm, LED Flash,
Sensors : Accelerator, E-Compass, Proximity, Ambient light sensor, fingerprint sensor, Gyro,
Security : Fingerprint Sensor, Face unlock,
Integrated 802.11b/g/n; WiFi-Direct, Bluetooth V 5.0 ( EDR + A2DP ),
Bluetooth Profile:A2DP + AVRCP + HID + PAN + OPP,
Support GPS, GLONASS, BDS, GALILEO, QZSS,
5-magnet Speaker, NXP SmartAmp, 2*Microphone,
Triple slots, 2 Nano SIM DSDS (4G VoLTE+4G VoLTE) & Dedicated MicroSD (Support up to 2TB),
USB Cable, 10W Adaptor, User Manual, Warranty Card, SIM Ejector Pin, Clear Soft Case,
Android O(8.1), AOSP,
Blue, Titanium,The specs are pretty good, price is too good, design is awesome, camera quality is excellent and battery life is awesome. A really good buy for price starting from Rs. 12,999. If you are not a gaming user you can go with 3GB/32GB variant.,You can buy this from Flipkart – , "
Infinix Note 5 Stylus,"Infinix Note 5 Stylus Review – Samsung S-Pen like experience for just Rs. 15,999",4.2,"Infinix today launched the Note 5 Stylus and the unique thing about this handset is that it comes with a X-Pen that looks and performs similar to the S-Pen as seen on the Samsung Galaxy Note series. The Infinix Note 5 Stylus price in India is Rs. 15,999. ,Infinix Note 5 Stylus is using a metal body, built and finishing is pretty good, especially the Red color looks great. The X-Pen houses inside the body just like as seen on Samsung Galaxy Note 9 handset. In fact the X-Pen looks a lot similar, comes with a fine tip and button.,With X-Pen you can Create Note, Write Memo, View Files, Smart Screenshot & for Doodling, Painting, Calculator, also supports Handwriting Recognition (,). When you remove the pen you get the X-Pen related menu.,When screen is off and you remove the pen you can quickly note down content on screen and save it, just like as seen on the ,.,Fast Charge: 20 seconds of Xpen charge gives 90 mins output. Pressure Sensitivity: 4096 sense of pressure, so the lines are finer and more detailed and overall experience of the pen is close to real handwriting experience.,Inside the hood the Infinix Note 5 Stylus houses the MediaTek P23 octa core processor, there is 4GB RAM, 64GB ROM, comes with hybrid slot supports dual VoLTE, and is running Android Oreo out of the box (,). This is Android One Smartphone.,The screen is 5.9 inches with FHD+ resolution, it is a full view display with 18:9 aspect ratio, 2.5D curved glass and there is no notch. Other features are Dual band Wi-Fi, Bluetooth, GPS, FM Radio. There is LED notification too.,Coming to the camera on the rear there is 16MP AI camera, supports AI Portrait and on the front there is 16MP camera. Camera quality is above average, edge detection in portrait mode is not that great but can be fixed / improved via software updates.,Night shots are okay when using auto or HDR mode, but if you use manual mode then the output is pretty impressive.,I played PUBG game, game was playable but not really that smooth. Antutu score I got was 85064. Handset does not heatup much., , , , , , , , , , ,There is 4000 mAh battery and inside the box you get 18W fast charger too. It took me 1 hour 20 minutes or so for a full charge and on a full charge you can get up to one and a half to two days of battery life.,Xpen Features : Create Note, Write Memo, View Files, Smart Screenshot & Doodling, Painting, Calculator, Handwriting Recognition,Design & Display : 5.93” FHD+ 18:9 Full View Display, LCD 500 NITS, 2.5D glass, 85% NTSC type, 1080*2160 resolution,  407 PPI, Full Metal Body,OS : Android Oreo 8.1 (Android One) along with Google Lens & Google Assistant,Rear camera : 16MP AI (f 1.8), Dual LED Flash, AI Auto Scene detection,Rear Camera Modes : AI Portrait, HDR, Beauty, Professional, Night, Panorama, Time-lapse,Front camera : 16MP AI (f 2.0),4 in 1 Big pixel, Softlight Flash, Front Camera Modes: AI Bokeh, AI Beauty, WideSelfie, Time-lapse,Battery : 4000mAh, AI Power Management, 18W Fast Charge (Full charge in ~1Hr),VoLTE : Dual SIM, Dual VoLTE (4G+4G),Chipset : MTK P23 Octa Core 64 bit processor, 2.0Ghz, GPU – ARM Mali G71,Memory : 4GB + 64GB,Sensors : Gyro, G-Sensor, Proximity, Light, Compass, Hall, Fingerprint sensor (0.3 seconds),Connectivity : BT 4.2, Dual 4G VoLTE, 3.5mm Audio Jack, FM, OTG,This is a unique handset, hardware is decent, looks great in RED, the X-Pen is awesome and really makes the handset look even more premium. So far you will get such features (the S-Pen type) on Samsung Galaxy Note series and that too for a premium price, but you can experience the same (not as good as the Samsung S-Pen but for the price the feature is pretty impressive).,Infinix Note 5 Stylus price in India is Rs. 15,999."
Intelligent Bicycle Direction Indicator Light,Intelligent Bicycle Direction Indicator Light (Auto Left / Right / Brake Light and Laser),4,"Here is a unique product Intelligent Bicycle Direction Indicator Light. If you ride a bicycle then this is a very good device. This is a bike light (bicycle light), it can auto detect the turn left or right and show the indicator, plus brake light and comes with laser light. ,You can buy this intelligent bicycle light from GearBest makes sure to use priority line shipping,
Total cost is Rs. 700 approx here is the link – ,– turn signal left, right (smart bicycle light),
– stop signal, brake light,
– water resistant, can easily be attached on bike.,
– best for night bicycle ride,
– Intelligent design can sense acceleration and deceleration of bicycle,
-Never waste your money on batteries again. Built-in 1200mAh Li-ion battery, and its recharging time is about 3.5 hours,
– The infrared ray light has high visibility, and its wavelength is 400 – 750nm,
– Replaceable backside strap,
– Perfect for improving your safety when riding a bicycle in the dark,
– It is powered through micro USB interface"
Oclean Air,"Xiaomi Oclean Air review – Intelligent APP Control Sonic Electrical Toothbrush for Rs. 2,400",4.5,"This is Xiaomi Oclean Air an Intelligent APP Control Sonic Electrical Toothbrush, you can buy this for approx Rs. 2,400. The link to buy is mentioned below. Xiaomi has invested in the Oclean brand. ,Buy from GearBest and choose priority line shipping option – ,Intelligent and efficient magnetic rotor motor, high-frequency of sonic vibrating 40000 strokes/min and 220gf.cm strong torque output, effectively clean the tooth gap and remove dental plaque.,The brush is water proof IPX7 certified, it is made with high-density German Pedex bristle, rust-free, environmentally friendly and healthy. It comes with pressure sensitive button that can be used to switch on/off, and change brushing modes. You can use the Oclean app to change the brushing modes too.,The rounding bristle will not scratch your gums or damage the surface. The Oclean Air comes with built in sensors that helps you brush your teeth better and you can get feedback on the app. Faster magnetic charging can be done in about 2 hours.,On a full charge you will get up to 30 days of battery life. This device makes use of Bluetooth 4.2. The brush head is made of really good material, it will last for months and you will get a notification on the app as to when the head needs replacement.,Very good option for those who do not brush properly or do not brush for the recommended 2 minutes. This Oclean Air sonic toothbrush will shut off after 2 or 3 minutes depending on the plan you selected and gives unique vibrations every 30 seconds – check video for more info."
Honor 8C,"Honor 8C review – PUBG GamePlay, Camera Sample, Battery Life – Price from Rs. 11,999",4.3,"Honor today launched the 8C handset in India, this is the first handset to be launched in India that houses the Qualcomm Snapdragon 632 octa core processor. Honor 8C Price in India is Rs. 11,999 (4+32GB) & Rs. 12,999 (4+64GB). ,Honor 8C looks pretty good, premium quality. The back particularly looks a lot different though its plastic body, it feels really good and comfortable to hold and use. Performance is smooth, hardware can play high end games.,I got Antutu score of 102813. You can check the video review and watch PUBG Gameplay in action. The Honor 8C is using Qualcomm Snapdragon 632 octa core processor that does a really good job and hardly heats up.,Coming to the camera on the rear there are dual 13MP + 2MP camera and front camera is a 8MP shooter. You can shoot FHD videos. Camera quality in auto mode is above average whereas if you use manual mode then quality is excellent., , , , , , , , , , ,The 4000 mAh battery took me 2 hours 15 minutes for a full charge and you will get one and a half to two days of battery life on a single charge.,EMUI 8.2 based on Android Oreo,
Qualcomm Snapdragon 632 octa core, 14nm processor,
4GB/64GB,
6.2 inch screen with 1520 x 720 pixels resolution (2.5D curved glass), 19:9 aspect ratio,
13MP + 2MP dual rear cameras (1.8 / 2.4 aperture),
8MP front camera (2.0 aperture),
Can shoot 1080p videos,
LED Notification,
Supports Dual VoLTE, 2.4GHz Wi-Fi, Bluetooth, GPS,
Finger print sensor, face unlock,
4000 mAh battery,
Accelerometer, light, proximity and magnetic sensor, , "
Realme U1,"Realme U1 review, PUBG Gameplay, camera samples and Redmi Note 6 Pro comparison",4.5,"Realme launched the U1 handset few days back, this is the first handset that is powered by MediaTek Helio P70 octa core processor. Price in India starts from Rs. 11,999. Check this Realme U1 review to know how the handset is, can it play PUBG game and is it a better option compared with the Redmi Note 6 Pro? ,Buy from Amazon – ,Realme U1 unboxing – ,
Redmi Note 6 Pro review – ,Realme U1 looks great, premium, however the glass type back after a long period of time will attract scratches and the handset after few months will not look that premium. Hence makes sense to use a silicon case or any other case to protect the handset right from the day you are using it.,Realme U1 is using MediaTek Helio P70 octa core chipset that does a really good job, especially when you play PUBG game you are going to enjoy the overall gaming experience. This handset features a 6.3 inch screen with duedrop notch that looks pretty good.,Do check the Realme U1 review video, in that video I have also done a brief comparison of the Realme U1 vs Redmi Note 6 Pro, do check the camera samples too.,In general the Realme U1 is more powerful but when it comes to camera and battery life then the Redmi Note 6 Pro does a better job.,The 3500 mAh battery on a full charge will give you one to one and a half days of battery life. There is no LED notification, sound is loud and clear. I got antutu score of around 1,43,000. U1 does heatup but heat buildup is under control., , , , , , , , , , , , , , , , , , , , , , ,Screen is 6.3 inches, dewdrop notch, LTPS IPS (In-Cell) LCD, 2.5D, Gorilla® Glass 3, 19.5:9 aspect ratio and resolution is 2340*1080, FHD+, 409 PPI,
MediaTek Helio P70, ARM Cortex-A73x4, ARM Cortex-A53x4, Up to 2.1GHz,
3GB + 32GB / 4GB + 64GB,
Triple slots – nano + nano + micro SD, dual VoLTE supported,
Wi-Fi (2.4GHz), Bluetooth 4.2, GPS,
Accelerometer, proximity, light, magnetic and Gyro sensor,
Finger print senor on back, face unlock,
ColorOS 5.2, based on Android 8.1,
13 MP + 2 MP rear camera, f/2.2 + f/2.4,
Front camera 25MP, Sony IMX576, f/2.0 aperture,
3500 mAh battery, took me around 2 hours for full charge, on a full charge you will get one to one and a half day of mixed usage,A very good buy this Realme U1, camera quality is excellent but when you compare that with Redmi Note 6 Pro you will like the Redmi camera better. So all depends on your usage and which parameter you want to give more weightage, accordingly you can either go with U1 or the Note 6 Pro."
